Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
committees,committees,1,id,int,NO,PRI,,auto_increment,,,
committees,committees,2,ub_ent_abbr,varchar(3),YES,,,,utf8,utf8_general_ci,
committees,committees,3,name,varchar(255),YES,UNI,,,latin1,latin1_swedish_ci,
committees,committees,4,description,varchar(1024),YES,,,,utf8,utf8_general_ci,
committees,committees,5,email_alias,varchar(45),YES,,,,utf8,utf8_general_ci,
committees,committees,6,cloud_storage,varchar(60),YES,,,,utf8,utf8_general_ci,
committees,committees,7,cms_display,tinyint(1),YES,,1,,,,
committees,committees,8,editor,varchar(8),YES,,,,utf8,utf8_general_ci,
committees,committees,9,dt,datetime,YES,,,,,,
committees,committees,10,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
committees,members,1,id,int,NO,PRI,,auto_increment,,,
committees,members,2,committee_id,int,YES,MUL,,,,,
committees,members,3,userid,varchar(8),YES,,,,utf8,utf8_general_ci,
committees,members,4,role,varchar(16),YES,,,,utf8,utf8_general_ci,
committees,members,5,editor,varchar(8),YES,,,,utf8,utf8_general_ci,
committees,members,6,dt,datetime,YES,,,,,,
committees,members,7,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
